
# **************** Reading GerdaMalaperis.txt
heziti|4212|hezit-i|La flegistino iom hezitas, sed fine kapjesas.|hezit -  hesitate<br>i - termination of the infinitive in verbs<br>
ridi|5749|rid-i|Antaŭe ŝi ne multe pensis pri la plezuro esti libera. Liberi estis io perfekte natura. Ŝi iris, kien ŝi deziris, sen iu ajn malhelpo, kaj tiu libereco ŝajnis evidenta rajto. Kaj nun oni malliberigis ŝin malantaŭ ŝlosita pordo. Ŝi, kiu tiom ŝatis ĝoji, ridi, kanti, kiu tiom ŝatis ludi kaj promeni sub la suno, nun ne plu trovis en si la humuron, kiu tiom ofte helpis ŝin en la malfacilaj horoj de la vivo. Ŝi ne povis vidi la eksteran sunon, kaj same en ŝia koro ne plu lumis la kutima suno de ĝojo.|rid -  laugh<br>i - termination of the infinitive in verbs<br>
antaŭe|1029|antaŭ-e|Mi ne konas lin. Mi neniam vidis lin antaŭe.|e - ending of adverbs<br>
paĝo|12282|paĝ-o|“Jes,” daŭrigis Gerda. “Tiun parton de la afero mi konas. Li faris historian esploron en la Biblioteko Vatikana. Inter la paĝoj de malnova libro, li trovis dokumenton en la sekreta lingvo de la Lumoserĉantoj. Li antaŭe kelktempe interesiĝis pri tiu sekreta societo internacia, kaj iom komprenis ĝian sekretan lingvon. Li komprenis, ke tiu papero indikas, kie troviĝas la trezoro de la Lumoserĉantoj, sed mem ne povis traduki ĉiujn detalajn indikojn. Li ricevis la permeson fotokopii la dokumenton. Foje, kiam ni renkontiĝis, li parolis pri tio al mi. Li diris, ke eble homoj provos trovi tiun trezoron, ĉar pli kaj pli multaj personoj interesiĝas pri la malnovaj sekretaj societoj. Li sciis, ke mi estas la sola persono en la mondo, kiu vere ĝisfunde studis tiujn malnovajn sekretajn lingvojn, kaj li petis min solene promesi, ke mi neniam kun-laboros kun homoj serĉantaj la trezoron pro materia intereso.”|paĝ -  page (of a book)<br>o - ending of nouns (substantive)<br>
silento|4873|silent-o|“Kompreneble ne. Mi bone komprenas vin. Fakte, mi ne estas speciale scivola. Mi komencis diri tion nur, ĉar mi trovis la silenton peza kaj la vojon pli kaj pli longa. Sed mi tute ne volus maldiskreti.”|silent -  be silent<br>o - ending of nouns (substantive)<br>
preferi|648|prefer-i|Mi tamen ne volas esti maldiskreta. Eble Tom parolas pri amo kaj preferas esti sola kun vi.|prefer -  prefer<br>i - termination of the infinitive in verbs<br>
cetere|1599|ceter-e|Cetere, ĉi tie ne estas peca sukero. Estas nur pulvora sukero, en sukerujoj.|ceter -  rest, remainder<br>e - ending of adverbs<br>
fal-sidi|3114|fal-sid-i|La flegistino iras al Bob, kiu fal-sidas ĉe la koridora muro. Ŝi tuŝas lian kapon.|fal -  fall<br>sid -  sit<br>i - termination of the infinitive in verbs<br>
indiki|10854|indik-i|Kaj Gerda klarigas. Ŝi rakontas, ke temas pri la trezoro de la Lumo-serĉantoj. La Lumoserĉantoj estis sekreta societo, kiu naskiĝis en la dekkvina jarcento kaj daŭris, jen forta, jen malforta, laŭ la epokoj, ĝis la mezo de la dekoka jarcento. Ĝi havis membrojn en tre multaj landoj, en plej malsamaj popoloj. Katolikoj, protestantoj, ortodoksuloj, judoj, islamanoj, budhanoj kaj aliaj estis membroj de tiu internacia aŭ supernacia societo. Ilia celo estis sekrete labori por la unuigo de la mondo, de la popoloj, por la harmoniigo de la religioj, kaj por la inter-kompreniĝo de la malsamaj tradicioj. Ili estis morala kaj filozofia elito. Ili estis elpensintaj sekretan lingvon, kiu ebligis al ili komuniki, el kiu ajn lando aŭ popolo ili estis. La ŝtatoj, kiam ili malkovris la ekziston de la Lumo-serĉantoj, ektimis tiujn homojn, miskomprenis iliajn celojn, kaj ilin persekutis. Inter la Lumoserĉantoj, tre riĉaj homoj troviĝis. Tial, laŭ diversaj malnovaj dokumentoj, ilia trezoro estas multvalora. Ĉi tiu papero estas fotokopio de dokumento, kiu tre precize indikas, kie oni kaŝis la trezoron.|indik -  indicate<br>i - termination of the infinitive in verbs<br>
firma|11264|firm-a|“Vi pravas,” diris Tom. “Mi tute ne ŝatus vojaĝi ŝipe. La maro ĉiam igas min malsana. Mi ŝatas rigardi la maron, resti ĉe la maro, liber-tempi apud la maro, sed ne vojaĝi per ŝipo sur ĝi. Ŝipoj konstante dancas sur la maro, kaj ilia danco tute ne plaĉas al mi. Feliĉe, ke hodiaŭ oni povas iri preskaŭ ien ajn aviadile. Aviadiloj preskaŭ tute ne dancas. Sed eĉ aviadiloj nur duone plaĉas al mi. Plej multe mi preferas, kiam mi veturas sur tero, sur bona firma tero. Mi bezonas sub mi ion pli firman ol akvo aŭ aero. Plej plaĉe estas promeni piede sur bona tera vojo. Mi...”|firm -  firm, stable, steady<br>a - termination of adjectives<br>
